sp_elev,sp,elevation,year,month,monthly_pet,monthly_tmed,monthly_prec,latitud,longitud
halepensis_high,halepensis,high,1971,1,12.518494569425728,5.096774224312075,38.39999933540821,38.243104656971994,-2.056803879607469
halepensis_high,halepensis,high,1971,2,17.39976618807499,6.585714331695011,0.800000011920929,42.14878005646169,-0.5844361847732209
halepensis_high,halepensis,high,1971,3,14.745768439157985,5.0096773966666195,49.80000048875809,39.190019990131255,-8.169041802920402
halepensis_high,halepensis,high,1971,4,28.64441001969505,7.826666649182638,145.09999967366457,42.88753575123846,1.6173864823300388
halepensis_high,halepensis,high,1971,5,43.668134909388606,9.887096835720923,36.199999772012234,43.33564481749199,-2.9856436002999542
halepensis_high,halepensis,high,1971,6,80.46104348120991,15.553333314259849,10.200000047683716,36.355340695241466,-6.4869708198588345
halepensis_high,halepensis,high,1971,7,121.22547008399115,20.858064713016635,2.700000047683716,40.11922280676663,-4.103517555585131
halepensis_high,halepensis,high,1971,8,125.14044661380176,22.4000000492219,0.8000000044703484,42.96086854627356,1.8674591226037602
halepensis_high,halepensis,high,1971,9,82.27397236014586,17.983333333333334,3.5999999716877937,40.301193112833424,-3.055522690946236
halepensis_high,halepensis,high,1971,10,56.563934194168375,14.322580706688663,0.6000000089406967,39.561594935366884,-0.8233030301984403
halepensis_high,halepensis,high,1971,11,12.121450902325993,4.989999984701474,34.79999993741512,43.463300093729046,-5.740444081742316
halepensis_high,halepensis,high,1971,12,10.906434765331923,4.68387097120285,81.200000166893,39.53600641828962,0.9949346168898057
halepensis_high,halepensis,high,1972,1,7.25752474537167,3.3870968169743016,35.899999998509884,41.28505095653236,-6.199146872246638
halepensis_high,halepensis,high,1972,2,10.747877519208174,4.589655171180594,15.700000271201134,40.46654053525999,-4.64245795654133
halepensis_high,halepensis,high,1972,3,18.89257655492745,6.032258056825207,26.999999769032,36.802812524791804,-6.3323926228098575
halepensis_high,halepensis,high,1972,4,36.74697417409247,9.433333381017048,11.299999810755253,43.01863476913422,2.490537267085166
halepensis_high,halepensis,high,1972,5,55.632586605889294,11.854838740441108,16.19999996572733,37.919484327966344,-4.070031963055953
halepensis_high,halepensis,high,1972,6,89.2020306744898,16.803333441416424,11.30000014603138,36.3280643615406,-7.568137492099778
halepensis_high,halepensis,high,1972,7,122.30219171096655,20.996774365825036,0.20000000298023224,38.55778161040507,2.220995510090143
halepensis_high,halepensis,high,1972,8,110.71730135517792,20.43548387096774,1.100000001490116,43.44512846334837,-4.919718661392108
